"","EEZ","Country","PNA_country","set_type","EEZ_total_catch","EEZ_total_days","LON5_D","LAT5_D"
"129","Kiribati Exclusive Economic Zone","Kiribati",TRUE,"UNA",36251.307,2519.56,175,0
"130","Kiribati Exclusive Economic Zone (Line Group)","Line Group",TRUE,"ASS",3530.681,52.02,-155,-5
"131","Kiribati Exclusive Economic Zone (Line Group)","Line Group",TRUE,"OTH",0,52.02,-155,-5
"132","Kiribati Exclusive Economic Zone (Line Group)","Line Group",TRUE,"UNA",0,52.02,-155,-5
"133","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,"ASS",49788.622,2825.56,-175,-5
"134","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,"ASS",18613.79,1277.81,-170,-5
"135","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,"ASS",822.824,56.09,-170,0
"136","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,"OTH",0,2825.56,-175,-5
"137","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,"OTH",0,1277.81,-170,-5
"138","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,"OTH",0,56.09,-170,0
"139","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,"UNA",51885.492,2825.56,-175,-5
"140","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,"UNA",29781.179,1277.81,-170,-5
"141","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,"UNA",465.684,56.09,-170,0
"142","Marshall Islands Exclusive Economic Zone","Marshall Islands",TRUE,"ASS",0,100.06,170,5
"143","Marshall Islands Exclusive Economic Zone","Marshall Islands",TRUE,"OTH",0,100.06,170,5
"144","Marshall Islands Exclusive Economic Zone","Marshall Islands",TRUE,"UNA",3970.87,100.06,170,5
"145","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"ASS",11940.755,577.33,140,5
"146","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"ASS",3473.535,353.62,145,5
"147","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"ASS",4670.278,390.81,150,5
"148","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"ASS",99873.353,11321.25,155,0
"149","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"ASS",1492.67,215.1,155,5
"150","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"ASS",3507.097,212.58,160,5
"151","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"OTH",0,577.33,140,5
"152","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"OTH",0,353.62,145,5
"153","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"OTH",0,390.81,150,5
"154","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"OTH",0,11321.25,155,0
"155","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"OTH",0,215.1,155,5
"156","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"OTH",0,212.58,160,5
"157","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"UNA",10872.61,577.33,140,5
"158","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"UNA",5663.433,353.62,145,5
