SA_fleet	species	age_quarters	selectivity
S-ASS-DW-4	SKJ	9	0.22
S-ASS-DW-4	SKJ	10	0.19
S-ASS-DW-4	SKJ	11	0.17
S-ASS-DW-4	SKJ	12	0.17
S-ASS-DW-4	SKJ	13	0.15
S-ASS-DW-4	SKJ	14	0.15
S-ASS-DW-4	SKJ	15	0.15
S-ASS-DW-4	SKJ	16	0.15
S-ID-PH-4	SKJ	1	0.003
S-ID-PH-4	SKJ	2	0.029
S-ID-PH-4	SKJ	3	0.536
S-ID-PH-4	SKJ	4	1.003
S-ID-PH-4	SKJ	5	0.851
S-ID-PH-4	SKJ	6	0.564
S-ID-PH-4	SKJ	7	0.374
S-ID-PH-4	SKJ	8	0.261
S-ID-PH-4	SKJ	9	0.207
S-ID-PH-4	SKJ	10	0.181
S-ID-PH-4	SKJ	11	0.164
S-ID-PH-4	SKJ	12	0.154
S-ID-PH-4	SKJ	13	0.154
S-ID-PH-4	SKJ	14	0.139
S-ID-PH-4	SKJ	15	0.14
S-ID-PH-4	SKJ	16	0.14
S-UNA-ALL-3	SKJ	1	0
S-UNA-ALL-3	SKJ	2	0
S-UNA-ALL-3	SKJ	3	0.03
S-UNA-ALL-3	SKJ	4	0.41
S-UNA-ALL-3	SKJ	5	1
S-UNA-ALL-3	SKJ	6	0.91
S-UNA-ALL-3	SKJ	7	0.65
S-UNA-ALL-3	SKJ	8	0.49
S-UNA-ALL-3	SKJ	9	0.39
S-UNA-ALL-3	SKJ	10	0.35
S-UNA-ALL-3	SKJ	11	0.31
S-UNA-ALL-3	SKJ	12	0.3
S-UNA-ALL-3	SKJ	13	0.3
S-UNA-ALL-3	SKJ	14	0.29
S-UNA-ALL-3	SKJ	15	0.29
S-UNA-ALL-3	SKJ	16	0.29
S-UNA-DW-4	SKJ	1	0
S-UNA-DW-4	SKJ	2	0.02
S-UNA-DW-4	SKJ	3	0.08
S-UNA-DW-4	SKJ	4	0.62
S-UNA-DW-4	SKJ	5	1
S-UNA-DW-4	SKJ	6	0.67
S-UNA-DW-4	SKJ	7	0.39
S-UNA-DW-4	SKJ	8	0.26
S-UNA-DW-4	SKJ	9	0.21
S-UNA-DW-4	SKJ	10	0.16
S-UNA-DW-4	SKJ	11	0.15
S-UNA-DW-4	SKJ	12	0.15
S-UNA-DW-4	SKJ	13	0.14
S-UNA-DW-4	SKJ	14	0.14
S-UNA-DW-4	SKJ	15	0.14
S-UNA-DW-4	SKJ	16	0.14
Z-ID-4	SKJ	1	0.05
Z-ID-4	SKJ	2	0.33
Z-ID-4	SKJ	3	1
Z-ID-4	SKJ	4	0.85
Z-ID-4	SKJ	5	0.84
Z-ID-4	SKJ	6	0.87
Z-ID-4	SKJ	7	0.74
Z-ID-4	SKJ	8	0.54
Z-ID-4	SKJ	9	0.38
Z-ID-4	SKJ	10	0.28
Z-ID-4	SKJ	11	0.23
Z-ID-4	SKJ	12	0.2
Z-ID-4	SKJ	13	0.17
Z-ID-4	SKJ	14	0.17
Z-ID-4	SKJ	15	0.17
Z-ID-4	SKJ	16	0.17
