SA_fleet	species	age_quarters	selectivity
S-ASS-ALL-3	YFT	15	0.1
S-ASS-ALL-3	YFT	16	0.1
S-ASS-ALL-3	YFT	17	0.08
S-ASS-ALL-3	YFT	18	0.08
S-ASS-ALL-3	YFT	19	0.08
S-ASS-ALL-3	YFT	20	0.08
S-ASS-ALL-3	YFT	21	0.08
S-ASS-ALL-3	YFT	22	0.08
S-ASS-ALL-3	YFT	23	0.08
S-ASS-ALL-3	YFT	24	0.08
S-ASS-ALL-3	YFT	25	0.08
S-ASS-ALL-3	YFT	26	0.08
S-ASS-ALL-3	YFT	27	0.08
S-ASS-ALL-3	YFT	28	0.08
S-UNA-ALL-3	YFT	1	0.08
S-UNA-ALL-3	YFT	2	0.13
S-UNA-ALL-3	YFT	3	0.3
S-UNA-ALL-3	YFT	4	0.42
S-UNA-ALL-3	YFT	5	0.5
S-UNA-ALL-3	YFT	6	0.57
S-UNA-ALL-3	YFT	7	0.69
S-UNA-ALL-3	YFT	8	0.84
S-UNA-ALL-3	YFT	9	0.96
S-UNA-ALL-3	YFT	10	1
S-UNA-ALL-3	YFT	11	1
S-UNA-ALL-3	YFT	12	0.96
S-UNA-ALL-3	YFT	13	0.89
S-UNA-ALL-3	YFT	14	0.84
S-UNA-ALL-3	YFT	15	0.79
S-UNA-ALL-3	YFT	16	0.76
S-UNA-ALL-3	YFT	17	0.74
S-UNA-ALL-3	YFT	18	0.71
S-UNA-ALL-3	YFT	19	0.69
S-UNA-ALL-3	YFT	20	0.69
S-UNA-ALL-3	YFT	21	0.66
S-UNA-ALL-3	YFT	22	0.66
S-UNA-ALL-3	YFT	23	0.66
S-UNA-ALL-3	YFT	24	0.66
S-UNA-ALL-3	YFT	25	0.66
S-UNA-ALL-3	YFT	26	0.66
S-UNA-ALL-3	YFT	27	0.66
S-UNA-ALL-3	YFT	28	0.66
S-ASS-ALL-4	YFT	1	0.35
S-ASS-ALL-4	YFT	2	0.59
S-ASS-ALL-4	YFT	3	1
S-ASS-ALL-4	YFT	4	0.93
S-ASS-ALL-4	YFT	5	0.69
S-ASS-ALL-4	YFT	6	0.52
S-ASS-ALL-4	YFT	7	0.44
S-ASS-ALL-4	YFT	8	0.39
S-ASS-ALL-4	YFT	9	0.35
S-ASS-ALL-4	YFT	10	0.27
S-ASS-ALL-4	YFT	11	0.22
S-ASS-ALL-4	YFT	12	0.17
S-ASS-ALL-4	YFT	13	0.15
S-ASS-ALL-4	YFT	14	0.13
S-ASS-ALL-4	YFT	15	0.1
S-ASS-ALL-4	YFT	16	0.1
S-ASS-ALL-4	YFT	17	0.08
S-ASS-ALL-4	YFT	18	0.08
S-ASS-ALL-4	YFT	19	0.08
S-ASS-ALL-4	YFT	20	0.08
S-ASS-ALL-4	YFT	21	0.08
S-ASS-ALL-4	YFT	22	0.08
S-ASS-ALL-4	YFT	23	0.08
S-ASS-ALL-4	YFT	24	0.08
S-ASS-ALL-4	YFT	25	0.08
S-ASS-ALL-4	YFT	26	0.08
S-ASS-ALL-4	YFT	27	0.08
S-ASS-ALL-4	YFT	28	0.08
S-UNA-ALL-4	YFT	1	0.05
S-UNA-ALL-4	YFT	2	0.13
S-UNA-ALL-4	YFT	3	0.28
S-UNA-ALL-4	YFT	4	0.43
S-UNA-ALL-4	YFT	5	0.48
S-UNA-ALL-4	YFT	6	0.56
S-UNA-ALL-4	YFT	7	0.68
S-UNA-ALL-4	YFT	8	0.83
S-UNA-ALL-4	YFT	9	0.96
S-UNA-ALL-4	YFT	10	1
S-UNA-ALL-4	YFT	11	1
