SA_fleet	species	age_quarters	selectivity
L-ALL-4	BET	29	0.18
L-ALL-4	BET	30	0.17
L-ALL-4	BET	31	0.15
L-ALL-4	BET	32	0.15
L-ALL-4	BET	33	0.13
L-ALL-4	BET	34	0.13
L-ALL-4	BET	35	0.13
L-ALL-4	BET	36	0.13
L-ALL-4	BET	37	0.13
L-ALL-4	BET	38	0.13
L-ALL-4	BET	39	0.13
L-ALL-4	BET	40	0.13
L-US-4	BET	1	0
L-US-4	BET	2	0
L-US-4	BET	3	0
L-US-4	BET	4	0
L-US-4	BET	5	0
L-US-4	BET	6	0.02
L-US-4	BET	7	0.1
L-US-4	BET	8	0.23
L-US-4	BET	9	0.42
L-US-4	BET	10	0.63
L-US-4	BET	11	0.83
L-US-4	BET	12	0.96
L-US-4	BET	13	1
L-US-4	BET	14	1
L-US-4	BET	15	0.97
L-US-4	BET	16	0.91
L-US-4	BET	17	0.85
L-US-4	BET	18	0.78
L-US-4	BET	19	0.72
L-US-4	BET	20	0.65
L-US-4	BET	21	0.6
L-US-4	BET	22	0.55
L-US-4	BET	23	0.52
L-US-4	BET	24	0.49
L-US-4	BET	25	0.46
L-US-4	BET	26	0.44
L-US-4	BET	27	0.42
L-US-4	BET	28	0.41
L-US-4	BET	29	0.39
L-US-4	BET	30	0.38
L-US-4	BET	31	0.38
L-US-4	BET	32	0.36
L-US-4	BET	33	0.36
L-US-4	BET	34	0.36
L-US-4	BET	35	0.36
L-US-4	BET	36	0.36
L-US-4	BET	37	0.36
L-US-4	BET	38	0.36
L-US-4	BET	39	0.36
L-US-4	BET	40	0.36
L-AU-5	BET	1	0
L-AU-5	BET	2	0
L-AU-5	BET	3	0
L-AU-5	BET	4	0
L-AU-5	BET	5	0
L-AU-5	BET	6	0
L-AU-5	BET	7	0.04
L-AU-5	BET	8	0.15
L-AU-5	BET	9	0.33
L-AU-5	BET	10	0.55
L-AU-5	BET	11	0.76
L-AU-5	BET	12	0.92
L-AU-5	BET	13	1
L-AU-5	BET	14	1
L-AU-5	BET	15	0.99
L-AU-5	BET	16	0.94
L-AU-5	BET	17	0.89
L-AU-5	BET	18	0.84
L-AU-5	BET	19	0.79
L-AU-5	BET	20	0.78
L-AU-5	BET	21	0.76
L-AU-5	BET	22	0.75
L-AU-5	BET	23	0.73
L-AU-5	BET	24	0.73
L-AU-5	BET	25	0.73
L-AU-5	BET	26	0.73
L-AU-5	BET	27	0.73
L-AU-5	BET	28	0.73
L-AU-5	BET	29	0.73
L-AU-5	BET	30	0.75
L-AU-5	BET	31	0.75
L-AU-5	BET	32	0.75
L-AU-5	BET	33	0.75
L-AU-5	BET	34	0.75
L-AU-5	BET	35	0.75
L-AU-5	BET	36	0.75
L-AU-5	BET	37	0.75
L-AU-5	BET	38	0.75
L-AU-5	BET	39	0.75
L-AU-5	BET	40	0.75
L-ALL-5	BET	1	0
L-ALL-5	BET	2	0
L-ALL-5	BET	3	0
L-ALL-5	BET	4	0
L-ALL-5	BET	5	0
L-ALL-5	BET	6	0
L-ALL-5	BET	7	0.04
L-ALL-5	BET	8	0.08
